,COUNTYFP20,VAP,AMINVAP,PRES20D,PRES20R,OVAP,TOT_VOTES,factor,AMINVAP_pct,OVAP_pct,PRES20None,PRES20D_pct,PRES20R_pct,PRES20None_pct
0,001,582,7,94,283,575,582,1.0,0.012027491408934709,0.9879725085910653,205,0.16151202749140894,0.48625429553264604,0.35223367697594504
1,001,3208,3096,1982,273,112,3208,1.0,0.9650872817955112,0.034912718204488775,953,0.6178304239401496,0.0850997506234414,0.297069825436409
2,001,2108,1800,989,148,308,2108,1.0,0.8538899430740038,0.1461100569259962,971,0.4691650853889943,0.07020872865275142,0.4606261859582543
3,001,2540,43,333,1486,2497,2540,1.0,0.016929133858267716,0.9830708661417323,721,0.1311023622047244,0.5850393700787402,0.28385826771653544
4,001,535,525,393,76,10,535,1.0,0.9813084112149533,0.018691588785046728,66,0.7345794392523365,0.14205607476635515,0.1233644859813084
5,001,1048,29,111,746,1019,1048,1.0,0.02767175572519084,0.9723282442748091,191,0.10591603053435114,0.7118320610687023,0.18225190839694658
6,001,1131,1116,748,87,15,1131,1.0,0.986737400530504,0.013262599469496022,296,0.6613616268788682,0.07692307692307693,0.26171529619805484
7,001,793,782,560,90,11,793,1.0,0.9861286254728878,0.013871374527112233,143,0.7061790668348046,0.11349306431273644,0.18032786885245902
8,001,1196,27,159,862,1169,1196,1.0,0.0225752508361204,0.9774247491638796,175,0.13294314381270902,0.7207357859531772,0.14632107023411373
9,001,1228,53,105,684,1175,1228,1.0,0.04315960912052117,0.9568403908794788,439,0.08550488599348534,0.5570032573289903,0.3574918566775244
10,001,3192,2926,1940,416,266,3192,1.0,0.9166666666666666,0.08333333333333333,836,0.6077694235588973,0.13032581453634084,0.2619047619047619
11,001,660,620,416,65,40,660,1.0,0.9393939393939394,0.06060606060606061,179,0.6303030303030303,0.09848484848484848,0.27121212121212124
12,001,829,779,647,119,50,829,1.0,0.9396863691194209,0.06031363088057901,63,0.7804583835946924,0.14354644149577805,0.07599517490952955
13,001,147,2,42,91,145,147,1.0,0.013605442176870748,0.9863945578231292,14,0.2857142857142857,0.6190476190476191,0.09523809523809523
14,001,1006,974,548,168,32,1006,1.0,0.9681908548707754,0.03180914512922465,290,0.5447316103379721,0.16699801192842942,0.2882703777335984
15,001,1105,1091,591,61,14,1105,1.0,0.9873303167420815,0.012669683257918552,453,0.534841628959276,0.05520361990950226,0.4099547511312217
16,001,627,613,436,109,14,627,1.0,0.9776714513556619,0.022328548644338118,82,0.6953748006379585,0.17384370015948963,0.13078149920255183
17,001,1336,1323,889,103,13,1336,1.0,0.9902694610778443,0.009730538922155689,344,0.6654191616766467,0.07709580838323353,0.25748502994011974
18,001,571,547,321,74,24,571,1.0,0.957968476357268,0.04203152364273205,176,0.5621716287215411,0.1295971978984238,0.30823117338003503
19,001,295,281,85,29,14,295,1.0,0.9525423728813559,0.04745762711864407,181,0.288135593220339,0.09830508474576272,0.6135593220338983
20,001,1722,1664,1030,123,58,1722,1.0,0.9663182346109176,0.03368176538908246,569,0.5981416957026713,0.07142857142857142,0.33042973286875726
21,001,252,248,135,29,4,252,1.0,0.9841269841269841,0.015873015873015872,88,0.5357142857142857,0.11507936507936507,0.3492063492063492
22,001,817,805,554,110,12,817,1.0,0.98531211750306,0.014687882496940025,153,0.6780905752753978,0.1346389228886169,0.18727050183598531
23,001,413,2,79,225,411,413,1.0,0.004842615012106538,0.9951573849878934,109,0.19128329297820823,0.5447941888619855,0.2639225181598063
24,001,364,354,282,42,10,364,1.0,0.9725274725274725,0.027472527472527472,40,0.7747252747252747,0.11538461538461539,0.10989010989010989
25,001,1636,1390,724,327,246,1636,1.0,0.8496332518337408,0.15036674816625917,585,0.44254278728606355,0.19987775061124693,0.3575794621026895
26,001,321,286,173,26,35,321,1.0,0.8909657320872274,0.10903426791277258,122,0.5389408099688473,0.08099688473520249,0.38006230529595014
27,001,796,783,317,167,13,796,1.0,0.9836683417085427,0.016331658291457288,312,0.39824120603015073,0.20979899497487436,0.39195979899497485
28,001,1002,963,802,111,39,1002,1.0,0.9610778443113772,0.038922155688622756,89,0.8003992015968064,0.11077844311377245,0.08882235528942116
29,001,874,862,526,57,12,874,1.0,0.9862700228832952,0.013729977116704805,291,0.6018306636155606,0.06521739130434782,0.3329519450800915
30,001,756,733,566,61,23,756,1.0,0.9695767195767195,0.03042328042328042,129,0.7486772486772487,0.08068783068783068,0.17063492063492064
31,001,1316,59,92,558,1257,1316,1.0,0.044832826747720364,0.9551671732522796,666,0.06990881458966565,0.42401215805471126,0.506079027355623
32,001,1705,108,236,873,1597,1705,1.0,0.06334310850439882,0.9366568914956012,596,0.13841642228739004,0.5120234604105571,0.3495601173020528
33,001,3864,3686,2320,418,178,3864,1.0,0.9539337474120083,0.04606625258799172,1126,0.6004140786749482,0.10817805383022774,0.291407867494824
34,001,722,708,480,85,14,722,1.0,0.9806094182825484,0.019390581717451522,157,0.6648199445983379,0.11772853185595568,0.21745152354570638
35,001,1266,47,159,666,1219,1266,1.0,0.03712480252764613,0.9628751974723538,441,0.12559241706161137,0.5260663507109005,0.34834123222748814
36,001,1240,1210,736,93,30,1240,1.0,0.9758064516129032,0.024193548387096774,411,0.5935483870967742,0.075,0.33145161290322583
37,001,547,527,312,76,20,547,1.0,0.9634369287020109,0.03656307129798903,159,0.5703839122486288,0.13893967093235832,0.2906764168190128
