,COUNTYFP20,VAP,APAMINVAP,PRES20D,PRES20R,OVAP,TOT_VOTES,factor,APAMINVAP_pct,OVAP_pct,PRES20None,PRES20D_pct,PRES20R_pct,PRES20None_pct
0,001,582,22,94,283,560,582,1.0,0.037800687285223365,0.9621993127147767,205,0.16151202749140894,0.48625429553264604,0.35223367697594504
1,001,3208,3115,1982,273,93,3208,1.0,0.9710099750623441,0.02899002493765586,953,0.6178304239401496,0.0850997506234414,0.297069825436409
2,001,2108,1831,989,148,277,2108,1.0,0.868595825426945,0.13140417457305503,971,0.4691650853889943,0.07020872865275142,0.4606261859582543
3,001,2540,130,333,1486,2410,2540,1.0,0.051181102362204724,0.9488188976377953,721,0.1311023622047244,0.5850393700787402,0.28385826771653544
4,001,535,530,393,76,5,535,1.0,0.9906542056074766,0.009345794392523364,66,0.7345794392523365,0.14205607476635515,0.1233644859813084
5,001,1048,54,111,746,994,1048,1.0,0.05152671755725191,0.9484732824427481,191,0.10591603053435114,0.7118320610687023,0.18225190839694658
6,001,1131,1126,748,87,5,1131,1.0,0.995579133510168,0.004420866489832007,296,0.6613616268788682,0.07692307692307693,0.26171529619805484
7,001,793,783,560,90,10,793,1.0,0.987389659520807,0.012610340479192938,143,0.7061790668348046,0.11349306431273644,0.18032786885245902
8,001,1196,46,159,862,1150,1196,1.0,0.038461538461538464,0.9615384615384616,175,0.13294314381270902,0.7207357859531772,0.14632107023411373
9,001,1228,68,105,684,1160,1228,1.0,0.05537459283387622,0.9446254071661238,439,0.08550488599348534,0.5570032573289903,0.3574918566775244
10,001,3192,2979,1940,416,213,3192,1.0,0.9332706766917294,0.06672932330827068,836,0.6077694235588973,0.13032581453634084,0.2619047619047619
11,001,660,624,416,65,36,660,1.0,0.9454545454545454,0.05454545454545454,179,0.6303030303030303,0.09848484848484848,0.27121212121212124
12,001,829,792,647,119,37,829,1.0,0.9553679131483716,0.04463208685162847,63,0.7804583835946924,0.14354644149577805,0.07599517490952955
13,001,147,3,42,91,144,147,1.0,0.02040816326530612,0.9795918367346939,14,0.2857142857142857,0.6190476190476191,0.09523809523809523
14,001,1006,982,548,168,24,1006,1.0,0.9761431411530815,0.02385685884691849,290,0.5447316103379721,0.16699801192842942,0.2882703777335984
15,001,1105,1099,591,61,6,1105,1.0,0.9945701357466064,0.005429864253393665,453,0.534841628959276,0.05520361990950226,0.4099547511312217
16,001,627,619,436,109,8,627,1.0,0.9872408293460925,0.012759170653907496,82,0.6953748006379585,0.17384370015948963,0.13078149920255183
17,001,1336,1329,889,103,7,1336,1.0,0.9947604790419161,0.005239520958083832,344,0.6654191616766467,0.07709580838323353,0.25748502994011974
18,001,571,557,321,74,14,571,1.0,0.9754816112084063,0.024518388791593695,176,0.5621716287215411,0.1295971978984238,0.30823117338003503
19,001,295,284,85,29,11,295,1.0,0.9627118644067797,0.03728813559322034,181,0.288135593220339,0.09830508474576272,0.6135593220338983
20,001,1722,1676,1030,123,46,1722,1.0,0.9732868757259001,0.026713124274099883,569,0.5981416957026713,0.07142857142857142,0.33042973286875726
21,001,252,248,135,29,4,252,1.0,0.9841269841269841,0.015873015873015872,88,0.5357142857142857,0.11507936507936507,0.3492063492063492
22,001,817,817,554,110,0,817,1.0,1.0,0.0,153,0.6780905752753978,0.1346389228886169,0.18727050183598531
23,001,413,9,79,225,404,413,1.0,0.021791767554479417,0.9782082324455206,109,0.19128329297820823,0.5447941888619855,0.2639225181598063
24,001,364,361,282,42,3,364,1.0,0.9917582417582418,0.008241758241758242,40,0.7747252747252747,0.11538461538461539,0.10989010989010989
25,001,1636,1435,724,327,201,1636,1.0,0.8771393643031785,0.12286063569682151,585,0.44254278728606355,0.19987775061124693,0.3575794621026895
26,001,321,290,173,26,31,321,1.0,0.9034267912772586,0.09657320872274143,122,0.5389408099688473,0.08099688473520249,0.38006230529595014
27,001,796,789,317,167,7,796,1.0,0.9912060301507538,0.008793969849246231,312,0.39824120603015073,0.20979899497487436,0.39195979899497485
28,001,1002,973,802,111,29,1002,1.0,0.9710578842315369,0.028942115768463075,89,0.8003992015968064,0.11077844311377245,0.08882235528942116
29,001,874,865,526,57,9,874,1.0,0.9897025171624714,0.010297482837528604,291,0.6018306636155606,0.06521739130434782,0.3329519450800915
30,001,756,749,566,61,7,756,1.0,0.9907407407407407,0.009259259259259259,129,0.7486772486772487,0.08068783068783068,0.17063492063492064
31,001,1316,81,92,558,1235,1316,1.0,0.06155015197568389,0.9384498480243161,666,0.06990881458966565,0.42401215805471126,0.506079027355623
32,001,1705,154,236,873,1551,1705,1.0,0.09032258064516129,0.9096774193548387,596,0.13841642228739004,0.5120234604105571,0.3495601173020528
33,001,3864,3749,2320,418,115,3864,1.0,0.9702380952380952,0.02976190476190476,1126,0.6004140786749482,0.10817805383022774,0.291407867494824
34,001,722,716,480,85,6,722,1.0,0.9916897506925207,0.008310249307479225,157,0.6648199445983379,0.11772853185595568,0.21745152354570638
35,001,1266,73,159,666,1193,1266,1.0,0.05766192733017378,0.9423380726698263,441,0.12559241706161137,0.5260663507109005,0.34834123222748814
36,001,1240,1228,736,93,12,1240,1.0,0.9903225806451613,0.00967741935483871,411,0.5935483870967742,0.075,0.33145161290322583
37,001,547,527,312,76,20,547,1.0,0.9634369287020109,0.03656307129798903,159,0.5703839122486288,0.13893967093235832,0.2906764168190128
38,001,329,329,294,35,0,329,1.0444444444444445,1.0,0.0,0,0.8936170212765957,0.10638297872340426,0.0
39,001,642,631,436,101,11,642,1.0,0.9828660436137072,0.017133956386292833,105,0.6791277258566978,0.1573208722741433,0.16355140186915887
40,001,1862,96,238,1140,1766,1862,1.0,0.05155746509129968,0.9484425349087003,484,0.12781954887218044,0.6122448979591837,0.25993555316863587
41,001,1838,1432,988,79,406,1838,1.0,0.779107725788901,0.22089227421109903,771,0.5375408052230686,0.04298150163220892,0.41947769314472255
42,001,698,694,425,70,4,698,1.0,0.994269340974212,0.0057306590257879654,203,0.6088825214899714,0.10028653295128939,0.29083094555873923
43,003,2223,80,442,958,2143,2223,1.0,0.03598740440845704,0.964012595591543,823,0.19883040935672514,0.43094916779127307,0.3702204228520018
44,003,2332,97,445,1239,2235,2332,1.0,0.04159519725557462,0.9584048027444254,648,0.19082332761578044,0.5313036020583191,0.27787307032590053
45,003,2408,98,508,986,2310,2408,1.0,0.040697674418604654,0.9593023255813954,914,0.21096345514950166,0.40946843853820597,0.3795681063122924
46,003,1619,53,908,223,1566,1619,1.0,0.032736256948733784,0.9672637430512662,488,0.560840024706609,0.13773934527486104,0.30142063001853
47,003,1708,73,698,440,1635,1708,1.0,0.04274004683840749,0.9572599531615925,570,0.40866510538641687,0.2576112412177986,0.3337236533957845
48,003,1684,61,783,366,1623,1684,1.0,0.03622327790973872,0.9637767220902613,535,0.4649643705463183,0.2173396674584323,0.3176959619952494
49,003,510,26,62,148,484,510,1.0,0.050980392156862744,0.9490196078431372,300,0.12156862745098039,0.2901960784313726,0.5882352941176471
50,003,1963,67,404,1006,1896,1963,1.0,0.03413143148242486,0.9658685685175752,553,0.20580743759551706,0.5124808965868568,0.2817116658176261
51,003,1837,32,751,257,1805,1837,1.0,0.017419706042460535,0.9825802939575394,829,0.4088187261839956,0.13990201415351117,0.4512792596624932
52,003,2378,51,926,413,2327,2378,1.0,0.02144659377628259,0.9785534062237174,1039,0.3894028595458368,0.1736753574432296,0.43692178301093354
53,003,2688,77,891,250,2611,2688,1.0,0.028645833333333332,0.9713541666666666,1547,0.3314732142857143,0.09300595238095238,0.5755208333333334
54,003,2260,50,664,212,2210,2260,1.0,0.022123893805309734,0.9778761061946902,1384,0.2938053097345133,0.09380530973451327,0.6123893805309735
