,COUNTY,VAP,AMINVAP,PRES20D,PRES20R,OVAP,TOT_VOTES,factor,AMINVAP_pct,OVAP_pct,PRES20None,PRES20D_pct,PRES20R_pct,PRES20None_pct
30,Appling,1433,4,116,870,1429,1433,1.0,0.0027913468248429866,0.9972086531751571,447,0.08094905792044661,0.6071179344033496,0.31193300767620374
31,Appling,1192,0,44,594,1192,1192,1.0,0.0,1.0,554,0.03691275167785235,0.4983221476510067,0.46476510067114096
32,Appling,2639,8,908,531,2631,2639,1.0,0.0030314513073133762,0.9969685486926866,1200,0.3440697233800682,0.20121258052292534,0.45471769609700646
33,Appling,865,8,20,587,857,865,1.0,0.009248554913294798,0.9907514450867052,258,0.023121387283236993,0.6786127167630058,0.29826589595375724
34,Appling,1920,15,288,843,1905,1920,1.0,0.0078125,0.9921875,789,0.15,0.4390625,0.4109375
35,Appling,990,3,23,647,987,990,1.0,0.0030303030303030303,0.996969696969697,320,0.023232323232323233,0.6535353535353535,0.32323232323232326
36,Appling,1880,7,130,1048,1873,1880,1.0,0.003723404255319149,0.9962765957446809,702,0.06914893617021277,0.5574468085106383,0.37340425531914895
37,Appling,1624,10,118,697,1614,1624,1.0,0.006157635467980296,0.9938423645320197,809,0.07266009852216748,0.4291871921182266,0.4981527093596059
38,Appling,1415,13,132,709,1402,1415,1.0,0.009187279151943463,0.9908127208480565,574,0.09328621908127209,0.5010600706713781,0.4056537102473498
39,Atkinson,973,12,45,479,961,973,1.0,0.012332990750256937,0.987667009249743,449,0.046248715313463515,0.49229188078108943,0.4614594039054471
40,Atkinson,1316,10,329,229,1306,1316,1.0,0.007598784194528876,0.9924012158054711,758,0.25,0.17401215805471124,0.5759878419452887
41,Atkinson,2289,16,160,1026,2273,2289,1.0,0.0069899519440803845,0.9930100480559196,1103,0.06989951944080385,0.44823066841415465,0.4818698121450415
42,Atkinson,1551,13,291,566,1538,1551,1.0,0.008381689232753063,0.9916183107672469,694,0.18762088974854932,0.3649258542875564,0.44745325596389424
43,Bacon,8310,14,625,4018,8296,8310,1.0,0.0016847172081829122,0.9983152827918171,3667,0.07521058965102287,0.4835138387484958,0.44127557160048136
44,Baker,186,0,31,93,186,186,1.0,0.0,1.0,62,0.16666666666666666,0.5,0.3333333333333333
45,Baker,388,0,148,141,388,388,1.0,0.0,1.0,99,0.38144329896907214,0.3634020618556701,0.2551546391752577
46,Baker,327,0,111,120,327,327,1.0,0.0,1.0,96,0.3394495412844037,0.3669724770642202,0.29357798165137616
47,Baker,286,0,69,137,286,286,1.0,0.0,1.0,80,0.24125874125874125,0.479020979020979,0.27972027972027974
48,Baker,1088,0,293,406,1088,1088,1.0,0.0,1.0,389,0.2693014705882353,0.37316176470588236,0.35753676470588236
49,Baldwin,1325,4,547,134,1321,1325,1.0,0.0030188679245283017,0.9969811320754717,644,0.41283018867924526,0.10113207547169811,0.48603773584905663
50,Baldwin,3295,2,331,153,3293,3295,1.0,0.0006069802731411229,0.9993930197268589,2811,0.10045523520485584,0.0464339908952959,0.8531107738998482
51,Baldwin,1682,0,320,784,1682,1682,1.0,0.0,1.0,578,0.1902497027348395,0.4661117717003567,0.3436385255648038
52,Baldwin,2953,7,169,113,2946,2953,1.0,0.0023704707077548256,0.9976295292922451,2671,0.05722993565865222,0.038266169996613614,0.9045038943447342
53,Baldwin,4077,13,1159,1581,4064,4077,1.0,0.003188619082658818,0.9968113809173412,1337,0.2842776551385823,0.387785136129507,0.32793720873191073
54,Baldwin,1545,6,520,140,1539,1545,1.0,0.003883495145631068,0.996116504854369,885,0.3365695792880259,0.09061488673139159,0.5728155339805825
55,Baldwin,1383,3,711,212,1380,1383,1.0,0.0021691973969631237,0.9978308026030369,460,0.5140997830802603,0.15328994938539406,0.33261026753434564
56,Baldwin,2926,4,831,1366,2922,2926,1.0,0.001367053998632946,0.9986329460013671,729,0.28400546821599454,0.46684894053315107,0.24914559125085442
57,Baldwin,3929,1,810,1891,3928,3929,1.0,0.00025451768897938407,0.9997454823110206,1228,0.2061593280733011,0.48129294986001525,0.31254772206668363
58,Baldwin,2567,8,859,793,2559,2567,1.0,0.0031164783794312427,0.9968835216205687,915,0.3346318659914297,0.3089209193611219,0.3564472146474484
59,Baldwin,1354,3,275,426,1351,1354,1.0,0.0022156573116691287,0.9977843426883308,653,0.20310192023633677,0.31462333825701627,0.48227474150664695
60,Baldwin,3058,6,583,179,3052,3058,1.0,0.001962066710268149,0.9980379332897319,2296,0.1906474820143885,0.05853499018966645,0.750817527795945
61,Baldwin,2208,3,604,731,2205,2208,1.0,0.001358695652173913,0.998641304347826,873,0.27355072463768115,0.33106884057971014,0.3953804347826087
62,Baldwin,3420,11,1421,400,3409,3420,1.0,0.003216374269005848,0.9967836257309941,1599,0.4154970760233918,0.11695906432748537,0.4675438596491228
63,Banks,1628,5,100,901,1623,1628,1.0,0.003071253071253071,0.9969287469287469,627,0.06142506142506143,0.5534398034398035,0.38513513513513514
64,Banks,951,4,103,528,947,951,1.0,0.004206098843322818,0.9957939011566772,320,0.10830704521556257,0.555205047318612,0.33648790746582546
65,Banks,425,2,29,266,423,425,1.0,0.004705882352941176,0.9952941176470588,130,0.06823529411764706,0.6258823529411764,0.3058823529411765
66,Banks,894,2,42,468,892,894,1.0,0.0022371364653243847,0.9977628635346756,384,0.04697986577181208,0.5234899328859061,0.42953020134228187
67,Banks,399,1,20,258,398,399,1.0,0.002506265664160401,0.9974937343358395,121,0.05012531328320802,0.6466165413533834,0.3032581453634085
68,Banks,2052,19,166,1107,2033,2052,1.0,0.009259259259259259,0.9907407407407407,779,0.08089668615984405,0.5394736842105263,0.37962962962962965
69,Banks,1236,10,80,538,1226,1236,1.0,0.008090614886731391,0.9919093851132686,618,0.06472491909385113,0.43527508090614886,0.5
70,Banks,598,10,33,387,588,598,1.0,0.016722408026755852,0.9832775919732442,178,0.05518394648829431,0.6471571906354515,0.2976588628762542
71,Banks,735,5,53,432,730,735,1.0,0.006802721088435374,0.9931972789115646,250,0.07210884353741497,0.5877551020408164,0.3401360544217687
72,Banks,1619,5,108,957,1614,1619,1.0,0.0030883261272390363,0.9969116738727609,554,0.06670784434836319,0.5911056207535516,0.34218653489808526
73,Banks,1913,10,113,1121,1903,1913,1.0,0.005227391531625719,0.9947726084683742,679,0.05906952430737062,0.5859905906952431,0.3549398849973863
74,Banks,783,3,53,438,780,783,1.0,0.0038314176245210726,0.9961685823754789,292,0.06768837803320563,0.5593869731800766,0.37292464878671777
75,Banks,654,2,32,394,652,654,1.0,0.0030581039755351682,0.9969418960244648,228,0.04892966360856269,0.6024464831804281,0.3486238532110092
76,Barrow,3784,24,560,1728,3760,3784,1.0,0.006342494714587738,0.9936575052854123,1496,0.14799154334038056,0.45665961945031713,0.3953488372093023
77,Barrow,7641,25,966,4033,7616,7641,1.0,0.0032718230598089257,0.9967281769401911,2642,0.12642324303101687,0.5278104960083758,0.34576626096060725
78,Barrow,6992,38,943,3098,6954,6992,1.0,0.005434782608695652,0.9945652173913043,2951,0.13486842105263158,0.4430778032036613,0.4220537757437071
79,Barrow,4582,22,624,1904,4560,4582,1.0,0.004801396769969445,0.9951986032300305,2054,0.13618507202095154,0.41553906591008294,0.4482758620689655
80,Barrow,9044,28,1743,4198,9016,9044,1.0,0.0030959752321981426,0.9969040247678018,3103,0.19272445820433437,0.4641751437417072,0.3431003980539584
81,Barrow,7577,39,1114,3784,7538,7577,1.0,0.0051471558664379045,0.9948528441335621,2679,0.1470238880823545,0.4994060974000264,0.3535700145176191
82,Barrow,10492,45,2036,3664,10447,10492,1.0,0.00428898208158597,0.995711017918414,4792,0.19405261151353412,0.3492184521540221,0.45672893633244377
83,Barrow,12083,65,2467,4395,12018,12083,1.0,0.005379458743689481,0.9946205412563105,5221,0.20417114954895307,0.363734171977158,0.43209467847388894
84,Bartow,7759,35,908,3819,7724,7759,1.0,0.00451089057868282,0.9954891094213172,3032,0.11702538986982859,0.4922026034282768,0.39077200670189455
85,Bartow,5228,53,696,1997,5175,5228,1.0,0.010137719969395562,0.9898622800306044,2535,0.1331293037490436,0.3819816373374139,0.48488905891354245
86,Bartow,9166,51,1527,2810,9115,9166,1.0,0.005564041021165176,0.9944359589788349,4829,0.16659393410429849,0.30656775038184597,0.5268383155138555
87,Bartow,8597,36,1776,4030,8561,8597,1.0,0.0041875072699778994,0.9958124927300221,2791,0.20658369198557636,0.46876817494474815,0.3246481330696755
88,Bartow,12578,45,1940,5487,12533,12578,1.0,0.0035776753060899986,0.99642232469391,5151,0.15423755764032437,0.43623787565590716,0.40952456670376847
89,Bartow,4032,24,568,2312,4008,4032,1.0,0.005952380952380952,0.9940476190476191,1152,0.14087301587301587,0.5734126984126984,0.2857142857142857
90,Bartow,3599,24,414,1582,3575,3599,1.0,0.0066685190330647405,0.9933314809669352,1603,0.11503195332036677,0.4395665462628508,0.44540150041678245
91,Bartow,5582,18,853,2859,5564,5582,1.0,0.0032246506628448583,0.9967753493371552,1870,0.1528126119670369,0.5121820136151917,0.3350053744177714
